STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry
17,27,900404,1403,38.696251,-89.319907,POINT (547317.747807847 -134382.38228841382)
17,27,900500,5664,38.533845,-89.208023,POINT (557838.1789276684 -152806.62120855585)
17,27,900601,2460,38.545537,-89.515766,POINT (532508.9285255315 -153203.0965425673)
17,27,900602,6900,38.533959,-89.662378,POINT (520577.8384274564 -155377.57233028792)
17,29,100,2658,39.613222,-88.134646,POINT (635267.9852498666 -19246.29080794779)
17,29,200,5556,39.475705,-88.366622,POINT (617877.026835718 -36938.79371280722)
17,29,300,4293,39.487319,-88.391901,POINT (615725.475318251 -35738.492317362616)
17,29,400,2629,39.488964,-88.352681,POINT (618877.062461146 -35289.7966257975)
17,29,500,6017,39.494792,-88.182693,POINT (632546.2864577819 -33483.00384877172)
17,29,600,3228,39.465475,-88.123251,POINT (637631.9172694548 -36529.18542526028)
17,29,701,2806,39.484802,-88.159191,POINT (634540.9466853793 -34499.678974055336)
17,29,702,2767,39.48703,-88.178663,POINT (632947.0519246286 -34368.08292861175)
17,29,800,2831,39.477502,-88.1744,POINT (633383.8751873012 -35459.06432775387)
17,29,900,4109,39.472838,-88.183323,POINT (632708.5953660293 -36066.624709623175)
17,29,1000,3177,39.473687,-88.355306,POINT (618810.1696779885 -37102.115222795925)
17,29,1100,3464,39.472299,-88.371102,POINT (617547.4592812236 -37368.222252507854)
17,29,1200,3328,39.479296,-88.389567,POINT (615989.8119121068 -36666.134735683336)
17,31,10100,4905,42.021211,-87.669647,POINT (647784.5417610885 267118.72991635074)
17,31,10201,6939,42.016026,-87.680766,POINT (646975.8206799325 266432.5470465214)
17,31,10202,2742,42.015715,-87.672614,POINT (647611.3838690311 266451.60627623065)
17,31,10300,6305,42.015987,-87.666353,POINT (648094.2188155459 266526.4068024873)
17,31,10400,5079,42.003958,-87.659456,POINT (648754.0840089356 265157.8454641283)
17,31,10501,4206,42.009744,-87.664038,POINT (648338.5655992661 265807.4722481299)
17,31,10502,3278,42.004636,-87.663012,POINT (648471.1648624132 265213.3112568482)
17,31,10503,2565,41.99997,-87.662662,POINT (648546.7404714968 264666.5492302474)
17,31,10600,6225,42.005748,-87.667612,POINT (648102.7547349241 265312.7291776739)
17,31,10701,3673,42.009181,-87.679146,POINT (647172.3773778771 265637.9779179419)
17,31,10702,4776,42.00906,-87.672222,POINT (647710.7752550312 265671.02527972084)
17,31,20100,4202,42.015465,-87.68712,POINT (646488.7510629233 266323.1714057034)
17,31,20200,7128,42.015796,-87.699613,POINT (645516.2424961518 266276.9961225393)
17,31,20301,5261,42.007276,-87.705552,POINT (645143.5136540995 265233.77955941047)
17,31,20302,5010,42.009157,-87.69517,POINT (645929.5173050542 265525.86553479015)
17,31,20400,4435,42.007933,-87.685723,POINT (646675.0653895872 265446.2110472272)
17,31,20500,6599,41.999881,-87.682993,POINT (646970.2141589051 264517.1529940297)
17,31,20601,6699,42.000292,-87.701949,POINT (645495.176340713 264436.30515734036)
17,31,20602,4662,42.001039,-87.693677,POINT (646129.27499213 264580.57737814885)
17,31,20701,1879,41.986169,-87.703509,POINT (645519.9821163021 262763.44838301634)
17,31,20702,7717,41.994554,-87.703959,POINT (645398.4727592926 263747.2730172175)
17,31,20801,5648,41.986788,-87.694039,POINT (646248.5236583195 262900.82344588824)
17,31,20802,7546,41.994335,-87.695056,POINT (646091.5822131847 263782.14243126777)
17,31,20901,5848,41.994897,-87.686206,POINT (646772.4961325562 263908.6355415905)
17,31,20902,4488,41.993293,-87.678658,POINT (647374.799144131 263771.3739207448)
17,31,30101,3687,41.991391,-87.656332,POINT (649126.965040548 263700.1909301326)
17,31,30102,3121,41.993424,-87.656682,POINT (649078.6931303894 263937.06200013607)
17,31,30103,2104,41.995117,-87.657419,POINT (649003.9251437123 264131.26875168853)
17,31,30104,3521,41.996978,-87.657114,POINT (649008.2655594724 264352.3819736063)
17,31,30200,5627,41.994665,-87.664869,POINT (648430.5431481649 264027.0906267932)
17,31,30300,3148,41.994268,-87.672828,POINT (647817.0826407393 263925.95195038954)
17,31,30400,2597,41.98707,-87.672027,POINT (647953.8504969365 263084.26836744463)
17,31,30500,6183,41.987022,-87.664863,POINT (648510.3035217791 263127.60641980474)
17,31,30601,3293,41.988727,-87.656624,POINT (649131.9722708706 263384.66071672965)
17,31,30603,2045,41.985542,-87.657814,POINT (649072.6985616602 263001.6647597801)
17,31,30604,3737,41.985897,-87.654804,POINT (649302.6021783714 263064.0578904277)
17,31,30701,1671,41.982753,-87.657496,POINT (649126.3377896892 262675.60057957604)
