GEOID,Census Tracts,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured
40037020603,"Census Tract 206.03, Creek County, Oklahoma",3412,66.00,63491,68041,13.4,9.2,87.0
40037020604,"Census Tract 206.04, Creek County, Oklahoma",3218,69.48,75739,93529,18.3,4.9,91.2
40037020702,"Census Tract 207.02, Creek County, Oklahoma",3582,73.95,62287,77652,17.4,15.7,87.2
40037020704,"Census Tract 207.04, Creek County, Oklahoma",1421,85.01,36905,51006,9.1,13.9,85.3
40037020705,"Census Tract 207.05, Creek County, Oklahoma",2846,79.62,63333,75950,10.7,12.7,90.6
40037020706,"Census Tract 207.06, Creek County, Oklahoma",5498,76.88,59266,72816,19.3,8.2,89.8
40037020707,"Census Tract 207.07, Creek County, Oklahoma",2291,75.16,55549,72076,7.4,10.6,86.5
40037020800,"Census Tract 208, Creek County, Oklahoma",3057,81.62,37155,51550,6.4,13.9,88.8
40037020900,"Census Tract 209, Creek County, Oklahoma",2998,72.55,54426,66713,15.7,8.3,86.3
40037021000,"Census Tract 210, Creek County, Oklahoma",3681,66.31,31660,47621,9.6,12.5,83.0
40037021101,"Census Tract 211.01, Creek County, Oklahoma",2949,76.36,48152,69984,12.1,10.5,85.7
40037021102,"Census Tract 211.02, Creek County, Oklahoma",3603,75.19,51250,62120,11.7,13.8,88.0
40037021201,"Census Tract 212.01, Creek County, Oklahoma",1899,75.62,72778,84938,18.0,9.8,88.3
40037021202,"Census Tract 212.02, Creek County, Oklahoma",3829,67.38,55048,79272,18.4,11.2,86.2
40037021300,"Census Tract 213, Creek County, Oklahoma",2274,68.91,41205,48428,10.2,9.8,85.7
40037021401,"Census Tract 214.01, Creek County, Oklahoma",2120,76.84,98636,132973,38.4,5.6,92.7
40037021402,"Census Tract 214.02, Creek County, Oklahoma",4413,68.12,55815,64855,21.0,9.9,91.2
40037021500,"Census Tract 215, Creek County, Oklahoma",5791,70.71,64025,77685,18.8,8.3,84.1
40037021600,"Census Tract 216, Creek County, Oklahoma",2674,73.41,50688,68490,24.9,8.9,85.8
40039950800,"Census Tract 9508, Custer County, Oklahoma",3390,48.38,50385,58772,8.0,31.3,79.2
40039960401,"Census Tract 9604.01, Custer County, Oklahoma",3885,71.66,54960,68802,23.3,9.7,89.6
40039960402,"Census Tract 9604.02, Custer County, Oklahoma",3406,59.42,75599,117772,36.0,13.8,94.1
40039960600,"Census Tract 9606, Custer County, Oklahoma",5504,67.17,25790,44883,16.5,7.7,90.8
40039960701,"Census Tract 9607.01, Custer County, Oklahoma",5983,76.97,63317,80096,47.5,7.7,89.5
40039960702,"Census Tract 9607.02, Custer County, Oklahoma",3075,83.64,105395,116114,45.0,2.9,96.2
40039961000,"Census Tract 9610, Custer County, Oklahoma",3270,82.66,59306,69385,21.5,11.5,83.2
40041375601,"Census Tract 3756.01, Delaware County, Oklahoma",3331,68.24,53333,80744,18.4,15.0,81.8
40041375602,"Census Tract 3756.02, Delaware County, Oklahoma",3108,75.48,47938,59010,17.0,10.6,85.6
40041375701,"Census Tract 3757.01, Delaware County, Oklahoma",4394,75.81,49966,76832,33.7,6.1,88.6
40041375702,"Census Tract 3757.02, Delaware County, Oklahoma",3852,66.46,40679,64305,18.5,14.5,89.8
40041375803,"Census Tract 3758.03, Delaware County, Oklahoma",1996,73.80,48869,60857,18.9,11.6,85.8
40041375804,"Census Tract 3758.04, Delaware County, Oklahoma",1039,75.26,53125,82435,29.8,6.5,89.2
40041375805,"Census Tract 3758.05, Delaware County, Oklahoma",2032,76.72,46875,68272,21.7,11.3,87.4
40041375806,"Census Tract 3758.06, Delaware County, Oklahoma",1405,76.80,48594,53688,16.0,10.5,78.9
40041375901,"Census Tract 3759.01, Delaware County, Oklahoma",2835,60.63,39019,52332,16.2,24.8,83.0
40041375902,"Census Tract 3759.02, Delaware County, Oklahoma",1070,68.22,42634,54403,12.5,26.2,83.9
40041376000,"Census Tract 3760, Delaware County, Oklahoma",5345,46.77,44167,60433,12.5,22.0,72.5
40041376100,"Census Tract 3761, Delaware County, Oklahoma",4429,38.90,38846,61651,13.1,15.4,75.2
40041976200,"Census Tract 9762, Delaware County, Oklahoma",5561,59.68,47675,58986,13.7,16.3,78.9
40043959100,"Census Tract 9591, Dewey County, Oklahoma",1795,79.78,47371,72114,17.2,6.7,80.4
40043959200,"Census Tract 9592, Dewey County, Oklahoma",1530,88.69,43875,69457,16.6,7.1,76.5
40043959300,"Census Tract 9593, Dewey County, Oklahoma",1159,89.56,64583,97040,28.2,8.5,90.4
40045952600,"Census Tract 9526, Ellis County, Oklahoma",2677,85.92,47552,60475,16.5,14.3,83.5
40045952800,"Census Tract 9528, Ellis County, Oklahoma",1072,90.39,68194,81480,22.0,8.3,87.9
40047000101,"Census Tract 1.01, Garfield County, Oklahoma",2500,68.00,63018,71534,21.6,8.3,85.7
40047000102,"Census Tract 1.02, Garfield County, Oklahoma",3244,63.78,50019,54368,12.6,26.5,78.8
40047000200,"Census Tract 2, Garfield County, Oklahoma",2740,78.61,62542,66857,16.9,9.3,84.5
40047000601,"Census Tract 6.01, Garfield County, Oklahoma",2722,74.17,71902,92825,32.4,11.5,86.1
40047000602,"Census Tract 6.02, Garfield County, Oklahoma",3610,54.99,53715,60168,17.2,11.2,82.7
40047000701,"Census Tract 7.01, Garfield County, Oklahoma",3189,48.04,32113,68864,4.6,31.7,57.1
40047000702,"Census Tract 7.02, Garfield County, Oklahoma",3081,50.73,32563,35869,5.7,23.3,72.0
40047001100,"Census Tract 11, Garfield County, Oklahoma",3574,88.02,91034,114830,38.2,4.5,92.3
40047001200,"Census Tract 12, Garfield County, Oklahoma",3885,85.15,72663,85944,18.6,8.6,84.3
40047001301,"Census Tract 13.01, Garfield County, Oklahoma",5189,81.56,73135,91307,41.2,1.8,95.6
40047001302,"Census Tract 13.02, Garfield County, Oklahoma",3838,84.71,74086,111825,40.1,6.7,94.3
40047001401,"Census Tract 14.01, Garfield County, Oklahoma",3670,73.00,51228,67215,18.0,8.2,85.1
40047001402,"Census Tract 14.02, Garfield County, Oklahoma",4701,76.22,66350,75141,29.8,5.8,92.2
40047001500,"Census Tract 15, Garfield County, Oklahoma",6471,63.93,45871,58365,15.5,19.5,80.0
40047001602,"Census Tract 16.02, Garfield County, Oklahoma",4628,70.96,55588,73833,24.4,12.2,86.1
40047001603,"Census Tract 16.03, Garfield County, Oklahoma",3093,78.69,65279,70674,20.4,7.2,89.8
40047001604,"Census Tract 16.04, Garfield County, Oklahoma",2711,81.93,67045,86638,39.0,2.5,85.0
40049681100,"Census Tract 6811, Garvin County, Oklahoma",3050,73.41,45956,59095,16.7,9.8,82.3
40049681200,"Census Tract 6812, Garvin County, Oklahoma",3389,74.21,65139,74925,20.7,9.3,84.8
40049681300,"Census Tract 6813, Garvin County, Oklahoma",2802,70.88,42841,55584,18.3,19.1,82.6
40049681400,"Census Tract 6814, Garvin County, Oklahoma",4658,65.59,43371,62762,13.0,14.0,73.6
40049681500,"Census Tract 6815, Garvin County, Oklahoma",2294,67.70,47202,62054,21.3,11.0,86.9
40049681600,"Census Tract 6816, Garvin County, Oklahoma",1839,80.21,51637,68623,10.9,11.7,83.4
40049681700,"Census Tract 6817, Garvin County, Oklahoma",1648,80.52,76944,82527,18.0,8.7,92.3
40049681800,"Census Tract 6818, Garvin County, Oklahoma",2968,77.19,47628,61205,12.6,12.5,82.1
40049681900,"Census Tract 6819, Garvin County, Oklahoma",3008,81.88,57361,75474,20.2,8.4,83.8
40051000100,"Census Tract 1, Grady County, Oklahoma",942,75.16,27400,39201,4.9,26.2,84.4
40051000400,"Census Tract 4, Grady County, Oklahoma",3123,72.72,49222,69642,23.6,10.9,81.2
40051000501,"Census Tract 5.01, Grady County, Oklahoma",3414,74.66,64868,95729,25.8,8.2,89.8
40051000502,"Census Tract 5.02, Grady County, Oklahoma",3607,78.15,67778,74767,32.7,7.5,87.8
40051000600,"Census Tract 6, Grady County, Oklahoma",4985,80.24,61522,83379,15.0,12.0,85.8
40051000701,"Census Tract 7.01, Grady County, Oklahoma",3370,80.77,51047,71583,18.3,13.1,84.1
40051000702,"Census Tract 7.02, Grady County, Oklahoma",3206,82.13,56860,69457,14.3,9.8,86.9
40051000801,"Census Tract 8.01, Grady County, Oklahoma",3298,81.56,95905,121374,34.8,4.8,91.7
40051000802,"Census Tract 8.02, Grady County, Oklahoma",4876,81.17,67750,88364,25.6,6.6,90.6
40051000901,"Census Tract 9.01, Grady County, Oklahoma",2348,82.07,63636,77201,20.2,8.6,87.2
40051000902,"Census Tract 9.02, Grady County, Oklahoma",6316,80.37,85690,95418,24.2,8.7,88.6
40051000904,"Census Tract 9.04, Grady County, Oklahoma",3898,80.30,86887,92782,23.1,4.3,93.6
40051000905,"Census Tract 9.05, Grady County, Oklahoma",3996,83.16,123625,132565,32.7,5.1,95.2
40051000906,"Census Tract 9.06, Grady County, Oklahoma",3514,80.45,73605,78898,20.5,8.9,84.9
40051001000,"Census Tract 10, Grady County, Oklahoma",3902,63.66,42731,54109,10.3,22.4,77.2
40053956400,"Census Tract 9564, Grant County, Oklahoma",1443,88.29,64167,89501,29.3,8.5,92.0
40053956500,"Census Tract 9565, Grant County, Oklahoma",2726,89.03,49167,66769,20.8,9.3,86.6
40055967100,"Census Tract 9671, Greer County, Oklahoma",2119,73.43,49578,57089,10.8,20.0,92.6
40055967200,"Census Tract 9672, Greer County, Oklahoma",3372,80.69,48679,60975,10.4,14.7,82.1
40057967800,"Census Tract 9678, Harmon County, Oklahoma",2488,70.02,55369,72570,15.9,18.3,80.2
40059952100,"Census Tract 9521, Harper County, Oklahoma",1460,77.81,54000,63120,18.2,17.0,90.2
40059952200,"Census Tract 9522, Harper County, Oklahoma",1812,74.61,46316,57576,26.9,4.0,82.2
40061279100,"Census Tract 2791, Haskell County, Oklahoma",1871,69.27,47222,59930,11.7,14.3,82.3
40061279200,"Census Tract 2792, Haskell County, Oklahoma",4097,68.05,35188,50263,12.7,18.2,81.2
40061279300,"Census Tract 2793, Haskell County, Oklahoma",3335,67.68,52904,69282,17.4,11.0,80.2
40061279400,"Census Tract 2794, Haskell County, Oklahoma",2258,67.05,44241,59450,21.8,17.5,82.8
40063484600,"Census Tract 4846, Hughes County, Oklahoma",2469,52.21,37031,61561,13.3,13.9,68.2
40063484700,"Census Tract 4847, Hughes County, Oklahoma",2291,69.49,49375,66772,24.3,11.7,85.1
40063484800,"Census Tract 4848, Hughes County, Oklahoma",3759,52.89,33226,59994,5.5,24.8,77.5
40063484900,"Census Tract 4849, Hughes County, Oklahoma",2511,64.56,42073,53886,16.6,16.2,86.3
40063485000,"Census Tract 4850, Hughes County, Oklahoma",2337,74.33,44605,65541,23.7,12.0,86.9
40065968100,"Census Tract 9681, Jackson County, Oklahoma",2449,85.46,86250,99629,30.7,8.5,91.6
40065968200,"Census Tract 9682, Jackson County, Oklahoma",1531,79.49,61705,73055,14.3,9.0,91.9
40065968300,"Census Tract 9683, Jackson County, Oklahoma",1582,76.23,53100,62039,16.7,16.1,88.6
40065968400,"Census Tract 9684, Jackson County, Oklahoma",5882,74.96,84334,98232,37.4,6.0,86.5
40065968500,"Census Tract 9685, Jackson County, Oklahoma",4613,69.04,64538,77864,36.7,7.7,97.0
40065968600,"Census Tract 9686, Jackson County, Oklahoma",3761,48.29,31028,43015,8.7,25.4,75.3
40065968700,"Census Tract 9687, Jackson County, Oklahoma",1531,48.27,38313,44337,18.0,20.3,79.3
40065968800,"Census Tract 9688, Jackson County, Oklahoma",3436,54.34,39844,49987,14.3,21.0,85.0
40067371600,"Census Tract 3716, Jefferson County, Oklahoma",1585,77.54,35781,50542,14.1,15.1,88.1
40067371700,"Census Tract 3717, Jefferson County, Oklahoma",1289,79.36,42625,50545,8.8,21.1,84.2
40067371800,"Census Tract 3718, Jefferson County, Oklahoma",2463,79.33,48571,74493,19.2,14.8,83.4
40069660198,"Census Tract 6601.98, Johnston County, Oklahoma",2906,70.58,46813,58543,21.1,10.2,83.3
40069660201,"Census Tract 6602.01, Johnston County, Oklahoma",3408,61.71,39221,56345,30.0,10.8,83.5
40069660202,"Census Tract 6602.02, Johnston County, Oklahoma",1631,67.01,57857,72395,33.2,17.4,84.5
40069660300,"Census Tract 6603, Johnston County, Oklahoma",2327,70.69,48603,56767,10.8,14.7,82.2
40071000100,"Census Tract 1, Kay County, Oklahoma",5801,65.97,44567,61245,7.8,13.9,88.3
40071000201,"Census Tract 2.01, Kay County, Oklahoma",3030,71.98,43529,65649,18.2,12.7,87.9
40071000202,"Census Tract 2.02, Kay County, Oklahoma",4928,73.38,53045,67377,23.4,9.2,88.8
40071000300,"Census Tract 3, Kay County, Oklahoma",4395,79.82,63843,93566,35.7,3.5,92.9
40071000400,"Census Tract 4, Kay County, Oklahoma",1967,60.55,44150,56793,8.9,17.0,79.0
40071000500,"Census Tract 5, Kay County, Oklahoma",3974,62.98,39194,54534,9.1,17.3,81.0
40071000600,"Census Tract 6, Kay County, Oklahoma",3703,72.00,67333,80319,23.4,10.7,85.6
40071001100,"Census Tract 11, Kay County, Oklahoma",3781,73.45,51671,61479,21.6,13.0,86.2
40071001200,"Census Tract 12, Kay County, Oklahoma",4559,75.98,54192,72594,13.6,11.5,90.2
40071001301,"Census Tract 13.01, Kay County, Oklahoma",3575,78.74,42569,57170,9.9,16.3,84.5
40071001302,"Census Tract 13.02, Kay County, Oklahoma",3987,81.59,53503,67581,16.7,8.9,90.5
40073958100,"Census Tract 9581, Kingfisher County, Oklahoma",4390,69.32,46534,76828,22.4,16.8,81.0
40073958200,"Census Tract 9582, Kingfisher County, Oklahoma",2109,80.46,68828,86579,20.8,9.1,90.8
40073958300,"Census Tract 9583, Kingfisher County, Oklahoma",5914,76.68,59179,81233,17.1,10.6,83.3
40073958400,"Census Tract 9584, Kingfisher County, Oklahoma",2771,85.78,89550,105911,35.1,3.6,91.5
40075963600,"Census Tract 9636, Kiowa County, Oklahoma",1402,73.61,51750,69828,20.5,8.4,91.2
40075963700,"Census Tract 9637, Kiowa County, Oklahoma",3828,72.91,30822,44814,15.4,15.5,83.2
40075964200,"Census Tract 9642, Kiowa County, Oklahoma",3279,82.22,43050,58197,21.4,14.8,88.0
40077087100,"Census Tract 871, Latimer County, Oklahoma",2056,63.52,43819,66947,18.5,8.0,77.3
40077087200,"Census Tract 872, Latimer County, Oklahoma",4876,65.03,40212,61993,9.2,17.9,79.4
40077087300,"Census Tract 873, Latimer County, Oklahoma",2512,57.64,36736,59970,15.4,9.9,78.8
40079040102,"Census Tract 401.02, Le Flore County, Oklahoma",4632,74.14,41310,51317,11.2,14.2,84.2
40079040198,"Census Tract 401.98, Le Flore County, Oklahoma",1930,75.80,32321,52433,10.9,16.1,82.1
40079040299,"Census Tract 402.99, Le Flore County, Oklahoma",3533,70.42,40069,53431,18.5,15.2,86.2
40079040301,"Census Tract 403.01, Le Flore County, Oklahoma",5545,72.53,42375,54372,13.6,16.6,82.5
40079040302,"Census Tract 403.02, Le Flore County, Oklahoma",3482,74.84,47143,64229,18.6,7.1,82.8
40079040303,"Census Tract 403.03, Le Flore County, Oklahoma",3471,65.80,51607,66755,15.7,15.4,83.6
40079040401,"Census Tract 404.01, Le Flore County, Oklahoma",5483,64.76,49031,64760,22.5,16.6,82.6
40079040402,"Census Tract 404.02, Le Flore County, Oklahoma",3722,63.68,37895,48729,8.6,23.7,79.3
40079040500,"Census Tract 405, Le Flore County, Oklahoma",5108,70.13,51705,73519,17.6,10.2,77.1
40079040601,"Census Tract 406.01, Le Flore County, Oklahoma",3333,59.89,40186,50884,12.5,20.9,75.3
40079040602,"Census Tract 406.02, Le Flore County, Oklahoma",5096,63.32,42165,57646,12.0,22.9,78.1
40079040700,"Census Tract 407, Le Flore County, Oklahoma",2794,58.38,39792,47946,19.4,9.2,77.5
40081961100,"Census Tract 9611, Lincoln County, Oklahoma",4647,76.85,59412,71077,16.2,10.5,87.4
40081961200,"Census Tract 9612, Lincoln County, Oklahoma",3889,80.82,55833,69583,14.7,12.1,81.7
40081961300,"Census Tract 9613, Lincoln County, Oklahoma",4263,82.78,48903,60751,11.7,13.7,86.4
40081961401,"Census Tract 9614.01, Lincoln County, Oklahoma",3002,81.48,48669,67259,16.1,8.9,84.4
40081961402,"Census Tract 9614.02, Lincoln County, Oklahoma",4726,77.15,65037,71497,12.4,11.1,86.6
40081961500,"Census Tract 9615, Lincoln County, Oklahoma",5172,80.20,54206,81062,15.0,12.1,86.9
40081961600,"Census Tract 9616, Lincoln County, Oklahoma",2884,80.10,61250,75176,13.4,10.1,89.4
40081961700,"Census Tract 9617, Lincoln County, Oklahoma",4875,76.92,56825,72512,20.1,8.9,88.9
40083600101,"Census Tract 6001.01, Logan County, Oklahoma",2360,74.58,56556,74249,30.8,8.1,91.2
40083600200,"Census Tract 6002, Logan County, Oklahoma",2975,72.03,29150,46209,13.4,15.4,74.0
40083600300,"Census Tract 6003, Logan County, Oklahoma",2386,76.66,53625,60217,18.2,8.6,84.9
40083600401,"Census Tract 6004.01, Logan County, Oklahoma",6015,75.73,84965,113805,37.5,12.6,89.0
40083600402,"Census Tract 6004.02, Logan County, Oklahoma",3243,76.93,136250,228210,49.1,7.5,81.8
40083600501,"Census Tract 6005.01, Logan County, Oklahoma",3778,79.17,78992,97355,28.2,10.6,94.8
40083600502,"Census Tract 6005.02, Logan County, Oklahoma",5924,78.73,83940,95728,21.9,4.5,94.6
40083600600,"Census Tract 6006, Logan County, Oklahoma",4215,53.33,70210,99722,21.6,11.4,82.5
40083600700,"Census Tract 6007, Logan County, Oklahoma",4376,83.09,51848,69328,15.1,8.1,90.7
40083600801,"Census Tract 6008.01, Logan County, Oklahoma",5582,77.03,128031,150023,61.8,2.5,86.7
40083600802,"Census Tract 6008.02, Logan County, Oklahoma",4415,79.52,104511,114268,42.2,3.4,85.1
40083600903,"Census Tract 6009.03, Logan County, Oklahoma",1830,79.18,97798,119597,18.8,7.5,90.0
40083601000,"Census Tract 6010, Logan County, Oklahoma",2456,61.73,32928,64012,21.8,15.3,90.8
40085094100,"Census Tract 941, Love County, Oklahoma",3096,56.78,43510,56635,11.9,24.8,84.0
40085094200,"Census Tract 942, Love County, Oklahoma",5027,77.00,65040,73333,15.9,12.9,85.2
40085094300,"Census Tract 943, Love County, Oklahoma",2023,77.95,61034,64571,16.7,10.5,86.1
40087400103,"Census Tract 4001.03, McClain County, Oklahoma",5572,78.86,81780,112973,25.4,9.9,89.1
40087400104,"Census Tract 4001.04, McClain County, Oklahoma",5465,80.99,76777,95332,31.9,5.6,89.4
40087400105,"Census Tract 4001.05, McClain County, Oklahoma",4063,76.10,85054,98845,24.4,9.8,95.1
40087400106,"Census Tract 4001.06, McClain County, Oklahoma",5559,77.55,75654,91853,31.5,5.7,94.5
40087400201,"Census Tract 4002.01, McClain County, Oklahoma",3861,75.27,69200,83955,16.1,13.1,90.5
40087400203,"Census Tract 4002.03, McClain County, Oklahoma",4925,76.37,60709,77600,21.2,18.8,84.0
40087400204,"Census Tract 4002.04, McClain County, Oklahoma",5410,73.11,87340,109959,35.5,6.5,90.8
40087400300,"Census Tract 4003, McClain County, Oklahoma",5624,68.69,62775,77981,19.4,17.8,84.1
40087400400,"Census Tract 4004, McClain County, Oklahoma",1183,77.60,65150,78307,19.9,8.2,89.4
40089098200,"Census Tract 982, McCurtain County, Oklahoma",2349,64.71,54191,62578,13.5,12.3,74.9
40089098300,"Census Tract 983, McCurtain County, Oklahoma",1489,58.56,39353,49951,9.4,17.3,74.2
40089098400,"Census Tract 984, McCurtain County, Oklahoma",3935,68.01,47768,66601,12.5,14.6,79.4
40089098501,"Census Tract 985.01, McCurtain County, Oklahoma",3610,67.20,54352,63443,16.4,16.7,78.1
40089098502,"Census Tract 985.02, McCurtain County, Oklahoma",1924,71.99,44698,64805,19.8,12.9,84.8
40089098600,"Census Tract 986, McCurtain County, Oklahoma",5588,53.38,40214,51685,11.7,17.3,74.9
40089098700,"Census Tract 987, McCurtain County, Oklahoma",3921,44.81,29487,47340,15.2,21.8,80.7
40089098800,"Census Tract 988, McCurtain County, Oklahoma",5689,57.88,40670,57075,17.8,13.3,79.5
40089098900,"Census Tract 989, McCurtain County, Oklahoma",2309,68.51,40068,49006,13.1,17.2,77.3
40091779601,"Census Tract 7796.01, McIntosh County, Oklahoma",1646,79.77,51250,62604,15.3,17.4,79.3
40091779602,"Census Tract 7796.02, McIntosh County, Oklahoma",2766,65.73,34770,63720,10.4,14.0,80.3
40091779700,"Census Tract 7797, McIntosh County, Oklahoma",3249,62.20,40616,52708,12.7,14.8,68.2
40091779900,"Census Tract 7799, McIntosh County, Oklahoma",2803,60.83,36176,54771,13.0,13.9,81.5
40091780100,"Census Tract 7801, McIntosh County, Oklahoma",2048,67.14,41696,62318,9.3,8.7,70.7
40091780200,"Census Tract 7802, McIntosh County, Oklahoma",3182,66.62,35924,45617,11.5,15.5,72.6
40091780301,"Census Tract 7803.01, McIntosh County, Oklahoma",1258,80.37,49625,60485,15.7,14.8,81.6
40091780302,"Census Tract 7803.02, McIntosh County, Oklahoma",1989,72.75,48885,60520,16.4,9.9,83.2
40093955100,"Census Tract 9551, Major County, Oklahoma",3067,79.43,59500,71606,18.1,13.0,88.0
40093955200,"Census Tract 9552, Major County, Oklahoma",1718,90.63,68958,83806,20.5,7.3,91.5
40093955300,"Census Tract 9553, Major County, Oklahoma",2997,87.72,52981,64709,18.0,9.8,84.3
40095094698,"Census Tract 946.98, Marshall County, Oklahoma",3365,69.48,53803,70345,20.2,15.0,79.2
40095094700,"Census Tract 947, Marshall County, Oklahoma",4787,49.03,49297,69287,13.0,31.3,79.4
40095094803,"Census Tract 948.03, Marshall County, Oklahoma",2182,80.34,52703,61700,15.2,15.2,85.1
40095094804,"Census Tract 948.04, Marshall County, Oklahoma",1194,72.95,50598,53719,12.0,20.9,81.8
40095094805,"Census Tract 948.05, Marshall County, Oklahoma",1990,74.07,46094,67713,15.2,12.3,84.8
40095094806,"Census Tract 948.06, Marshall County, Oklahoma",1794,79.54,46518,59592,16.2,5.0,85.6
40097040100,"Census Tract 401, Mayes County, Oklahoma",4486,60.37,36274,49282,13.0,15.2,78.5
40097040200,"Census Tract 402, Mayes County, Oklahoma",5132,63.80,51990,67086,18.9,9.0,86.3
40097040300,"Census Tract 403, Mayes County, Oklahoma",4180,62.27,74091,87680,20.1,6.8,87.2
40097040400,"Census Tract 404, Mayes County, Oklahoma",5351,65.37,52089,64279,13.7,15.8,81.0
40097040501,"Census Tract 405.01, Mayes County, Oklahoma",2899,57.33,60074,68167,8.7,13.0,80.6
40097040502,"Census Tract 405.02, Mayes County, Oklahoma",3814,53.93,44345,64225,16.5,13.6,78.9
40097040600,"Census Tract 406, Mayes County, Oklahoma",3783,51.10,51989,61668,10.7,10.2,79.1
40097040700,"Census Tract 407, Mayes County, Oklahoma",3313,63.12,41250,60406,9.5,12.5,81.3
40097040801,"Census Tract 408.01, Mayes County, Oklahoma",3294,68.37,64014,85195,16.9,11.5,88.1
40097040802,"Census Tract 408.02, Mayes County, Oklahoma",2794,66.39,72553,78935,19.3,11.6,83.0
40099790600,"Census Tract 7906, Murray County, Oklahoma",2041,72.27,62143,79259,22.6,13.5,86.4
40099790701,"Census Tract 7907.01, Murray County, Oklahoma",3791,69.69,49223,62799,15.1,12.3,82.8
40099790702,"Census Tract 7907.02, Murray County, Oklahoma",1701,73.72,57222,73918,18.4,15.0,93.0
40099790801,"Census Tract 7908.01, Murray County, Oklahoma",3656,65.89,51736,71150,19.7,17.6,84.2
40099790802,"Census Tract 7908.02, Murray County, Oklahoma",2715,69.54,63347,81624,13.6,13.0,86.5
40101000100,"Census Tract 1, Muskogee County, Oklahoma",4565,44.88,42038,47664,18.7,12.7,86.5
40101000200,"Census Tract 2, Muskogee County, Oklahoma",1485,36.97,24913,35920,5.0,16.6,77.6
40101000300,"Census Tract 3, Muskogee County, Oklahoma",2935,39.01,29578,45199,12.7,17.6,77.0
40101000400,"Census Tract 4, Muskogee County, Oklahoma",1604,40.34,24605,44551,15.9,14.0,88.9
40101000600,"Census Tract 6, Muskogee County, Oklahoma",3674,51.52,44318,60363,21.3,19.6,83.9
40101000700,"Census Tract 7, Muskogee County, Oklahoma",4599,45.62,31875,44420,7.8,24.0,74.0
40101000801,"Census Tract 8.01, Muskogee County, Oklahoma",5421,57.24,52661,63640,30.5,6.1,88.9
40101000802,"Census Tract 8.02, Muskogee County, Oklahoma",2296,55.75,75053,98373,37.3,8.0,90.1
40101000901,"Census Tract 9.01, Muskogee County, Oklahoma",3488,55.50,66458,74642,25.5,7.4,94.0
40101000902,"Census Tract 9.02, Muskogee County, Oklahoma",4476,52.95,40200,47897,16.2,18.1,82.3
40101001000,"Census Tract 10, Muskogee County, Oklahoma",1610,44.29,47404,67805,17.4,12.0,81.7
40101001100,"Census Tract 11, Muskogee County, Oklahoma",2776,59.91,52109,65211,21.0,12.2,82.8
40101001200,"Census Tract 12, Muskogee County, Oklahoma",4504,58.68,52321,100630,15.5,12.8,90.4
40101001301,"Census Tract 13.01, Muskogee County, Oklahoma",2974,59.41,44652,71130,30.1,11.2,83.6
40101001302,"Census Tract 13.02, Muskogee County, Oklahoma",3324,56.65,59479,74476,18.2,13.4,82.2
40101001401,"Census Tract 14.01, Muskogee County, Oklahoma",3938,55.00,53750,71494,36.6,8.7,81.6
40101001402,"Census Tract 14.02, Muskogee County, Oklahoma",3127,60.63,66250,82592,20.7,14.2,90.9
40101001501,"Census Tract 15.01, Muskogee County, Oklahoma",3531,61.29,40481,57575,13.2,16.5,79.5
40101001502,"Census Tract 15.02, Muskogee County, Oklahoma",2189,63.00,44844,51227,15.6,19.1,83.1
40101001600,"Census Tract 16, Muskogee County, Oklahoma",3823,64.30,46971,65465,15.8,11.8,83.0
40103956600,"Census Tract 9566, Noble County, Oklahoma",2970,65.52,67019,76662,18.9,10.1,84.1
40103956900,"Census Tract 9569, Noble County, Oklahoma",3352,80.67,54983,65243,19.1,12.4,91.2
40103957000,"Census Tract 9570, Noble County, Oklahoma",1647,82.76,58833,75247,19.9,5.7,98.0
40103957100,"Census Tract 9571, Noble County, Oklahoma",2955,86.19,66673,86222,27.7,11.2,91.2
40105172100,"Census Tract 1721, Nowata County, Oklahoma",1921,68.45,50417,67257,17.6,11.2,86.8
40105172200,"Census Tract 1722, Nowata County, Oklahoma",1416,63.56,51172,60104,18.2,10.3,82.5
40105172300,"Census Tract 1723, Nowata County, Oklahoma",1810,67.62,60337,74864,17.5,7.5,86.4
40105172400,"Census Tract 1724, Nowata County, Oklahoma",4173,58.97,39286,54863,13.8,12.6,76.7
40107080600,"Census Tract 806, Okfuskee County, Oklahoma",2755,65.15,55721,68492,14.0,11.5,83.5
40107080700,"Census Tract 807, Okfuskee County, Oklahoma",3125,65.02,47273,59147,10.1,21.2,81.1
40107080900,"Census Tract 809, Okfuskee County, Oklahoma",3449,52.16,37500,46752,9.7,19.5,77.0
40107081000,"Census Tract 810, Okfuskee County, Oklahoma",1981,53.46,35391,53864,8.9,19.6,77.7
40109100100,"Census Tract 1001, Oklahoma County, Oklahoma",3040,59.08,54531,65961,35.2,13.1,83.3
40109100201,"Census Tract 1002.01, Oklahoma County, Oklahoma",1570,69.11,52137,69716,38.0,3.6,85.5
40109100202,"Census Tract 1002.02, Oklahoma County, Oklahoma",1639,52.47,40865,45924,10.9,12.5,76.4
40109100203,"Census Tract 1002.03, Oklahoma County, Oklahoma",2538,51.65,55424,70424,28.0,17.7,78.9
40109100300,"Census Tract 1003, Oklahoma County, Oklahoma",2681,77.77,97663,146141,60.8,1.3,93.4
40109100400,"Census Tract 1004, Oklahoma County, Oklahoma",1955,7.88,34697,42074,10.8,19.4,83.5
