GEOID,Census Tracts,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured
40017300804,"Census Tract 3008.04, Canadian County, Oklahoma",3769,70.42,96774,123285,39.6,10.3,96.9
40017300805,"Census Tract 3008.05, Canadian County, Oklahoma",7091,75.70,85590,93124,42.1,6.0,87.6
40017300806,"Census Tract 3008.06, Canadian County, Oklahoma",4604,69.37,100077,100381,42.6,4.8,91.5
40017300901,"Census Tract 3009.01, Canadian County, Oklahoma",6764,72.53,82608,90169,35.8,7.1,92.0
40017300902,"Census Tract 3009.02, Canadian County, Oklahoma",2423,75.65,80933,90927,27.9,2.4,93.2
40017300904,"Census Tract 3009.04, Canadian County, Oklahoma",5945,61.38,54824,64677,21.0,9.6,84.8
40017300905,"Census Tract 3009.05, Canadian County, Oklahoma",5998,74.64,78168,97275,36.6,4.6,94.6
40017301001,"Census Tract 3010.01, Canadian County, Oklahoma",1061,70.03,98036,101925,23.5,6.4,89.7
40017301003,"Census Tract 3010.03, Canadian County, Oklahoma",7086,73.41,74939,79991,24.0,7.9,88.9
40017301006,"Census Tract 3010.06, Canadian County, Oklahoma",3313,65.71,80905,83948,27.0,7.8,95.6
40017301010,"Census Tract 3010.10, Canadian County, Oklahoma",3624,66.53,80750,89626,45.1,1.0,90.2
40017301011,"Census Tract 3010.11, Canadian County, Oklahoma",5883,71.51,63495,84470,38.8,11.6,88.7
40017301012,"Census Tract 3010.12, Canadian County, Oklahoma",2674,60.77,96125,123402,39.7,1.3,96.6
40017301013,"Census Tract 3010.13, Canadian County, Oklahoma",6444,65.75,107218,110158,48.2,2.7,94.5
40017301014,"Census Tract 3010.14, Canadian County, Oklahoma",5218,65.64,74875,90407,33.1,14.1,92.9
40017301015,"Census Tract 3010.15, Canadian County, Oklahoma",2227,66.64,52426,66880,15.4,7.2,84.9
40017301100,"Census Tract 3011, Canadian County, Oklahoma",6059,78.59,71486,93711,40.7,6.6,92.7
40017301201,"Census Tract 3012.01, Canadian County, Oklahoma",3766,78.25,59284,68090,21.2,7.7,84.7
40017301202,"Census Tract 3012.02, Canadian County, Oklahoma",2460,81.99,77660,89238,35.1,6.4,95.5
40017301301,"Census Tract 3013.01, Canadian County, Oklahoma",2830,75.72,121296,146658,48.1,7.7,98.5
40017301302,"Census Tract 3013.02, Canadian County, Oklahoma",5444,79.06,94360,111404,36.9,4.3,91.6
40017301406,"Census Tract 3014.06, Canadian County, Oklahoma",5268,77.22,85513,97946,27.7,8.6,92.5
40017301407,"Census Tract 3014.07, Canadian County, Oklahoma",6348,79.00,101178,111329,23.0,5.1,91.6
40017301408,"Census Tract 3014.08, Canadian County, Oklahoma",2055,82.87,138269,132983,28.9,6.2,95.1
40017301409,"Census Tract 3014.09, Canadian County, Oklahoma",2763,74.09,64902,68793,17.9,8.1,87.2
40017301410,"Census Tract 3014.10, Canadian County, Oklahoma",5500,75.85,79253,92158,24.3,10.8,98.5
40019892100,"Census Tract 8921, Carter County, Oklahoma",2712,62.32,54234,73887,20.5,12.0,86.4
40019892200,"Census Tract 8922, Carter County, Oklahoma",1276,78.84,45455,56240,6.6,12.6,85.4
40019892301,"Census Tract 8923.01, Carter County, Oklahoma",1471,77.36,46250,71465,23.9,15.6,85.7
40019892302,"Census Tract 8923.02, Carter County, Oklahoma",1100,77.91,40152,44797,7.1,26.0,79.4
40019892400,"Census Tract 8924, Carter County, Oklahoma",3176,81.64,52083,70834,13.1,11.3,85.0
40019892501,"Census Tract 8925.01, Carter County, Oklahoma",4774,70.05,67500,82763,26.5,9.2,86.2
40019892502,"Census Tract 8925.02, Carter County, Oklahoma",5360,75.67,74350,91877,25.1,8.7,84.0
40019892601,"Census Tract 8926.01, Carter County, Oklahoma",2824,61.19,55655,62809,13.1,8.5,85.0
40019892602,"Census Tract 8926.02, Carter County, Oklahoma",3619,64.69,49267,84818,35.4,8.6,88.7
40019892700,"Census Tract 8927, Carter County, Oklahoma",4857,73.56,55049,68390,18.4,11.0,82.6
40019892801,"Census Tract 8928.01, Carter County, Oklahoma",2376,46.72,39881,45434,11.2,20.0,74.0
40019892802,"Census Tract 8928.02, Carter County, Oklahoma",2272,41.07,36250,50023,8.4,20.3,80.0
40019892900,"Census Tract 8929, Carter County, Oklahoma",2164,62.34,43178,53489,13.6,14.6,77.8
40019893001,"Census Tract 8930.01, Carter County, Oklahoma",4133,67.94,60781,73975,32.0,18.9,90.4
40019893002,"Census Tract 8930.02, Carter County, Oklahoma",3126,64.84,55857,68428,22.0,10.4,87.5
40019893100,"Census Tract 8931, Carter County, Oklahoma",2763,56.75,38250,47298,14.1,16.3,70.1
40021977600,"Census Tract 9776, Cherokee County, Oklahoma",5307,45.41,51422,66353,23.6,10.0,77.2
40021977701,"Census Tract 9777.01, Cherokee County, Oklahoma",2854,53.89,63393,77932,19.2,10.4,78.1
40021977702,"Census Tract 9777.02, Cherokee County, Oklahoma",3448,48.49,42500,55757,19.0,17.2,78.7
40021977801,"Census Tract 9778.01, Cherokee County, Oklahoma",2472,36.77,43580,58917,24.8,7.7,74.7
40021977802,"Census Tract 9778.02, Cherokee County, Oklahoma",4353,41.03,61326,72206,38.7,10.5,85.6
40021977901,"Census Tract 9779.01, Cherokee County, Oklahoma",3356,42.04,45978,71330,41.9,6.5,74.9
40021977902,"Census Tract 9779.02, Cherokee County, Oklahoma",3564,44.16,36209,43911,18.8,19.7,73.5
40021978000,"Census Tract 9780, Cherokee County, Oklahoma",4273,36.06,32347,49651,30.4,12.5,75.5
40021978100,"Census Tract 9781, Cherokee County, Oklahoma",5860,43.65,47386,60041,29.1,14.8,78.1
40021978201,"Census Tract 9782.01, Cherokee County, Oklahoma",2702,39.56,41282,61434,22.1,10.0,79.1
40021978202,"Census Tract 9782.02, Cherokee County, Oklahoma",2822,52.73,53371,67831,27.9,9.0,76.9
40021978301,"Census Tract 9783.01, Cherokee County, Oklahoma",3116,48.75,55278,69591,30.9,10.2,80.2
40021978302,"Census Tract 9783.02, Cherokee County, Oklahoma",2951,44.46,50000,59607,18.7,15.0,81.6
40023966900,"Census Tract 9669, Choctaw County, Oklahoma",2541,71.19,50391,65418,12.7,13.8,78.9
40023967000,"Census Tract 9670, Choctaw County, Oklahoma",2952,63.04,57006,68232,17.6,10.7,84.8
40023967100,"Census Tract 9671, Choctaw County, Oklahoma",3726,55.15,36825,52368,14.4,19.8,81.6
40023967200,"Census Tract 9672, Choctaw County, Oklahoma",2115,40.33,21754,33271,7.9,27.2,79.3
40023967300,"Census Tract 9673, Choctaw County, Oklahoma",2870,59.44,39467,55366,16.4,13.3,79.6
40025950100,"Census Tract 9501, Cimarron County, Oklahoma",1077,86.91,67083,92824,39.6,12.1,86.2
40025950300,"Census Tract 9503, Cimarron County, Oklahoma",1219,70.96,45341,59519,18.3,15.5,77.0
40027200100,"Census Tract 2001, Cleveland County, Oklahoma",338,73.37,32981,61272,26.7,7.5,79.7
40027200200,"Census Tract 2002, Cleveland County, Oklahoma",1724,68.39,34821,40534,21.9,11.7,82.4
40027200300,"Census Tract 2003, Cleveland County, Oklahoma",3512,64.78,53679,63841,23.6,19.7,84.6
40027200400,"Census Tract 2004, Cleveland County, Oklahoma",1795,69.97,42722,51679,34.3,9.7,86.5
40027200500,"Census Tract 2005, Cleveland County, Oklahoma",3573,76.18,35239,57862,60.8,3.5,92.1
40027200602,"Census Tract 2006.02, Cleveland County, Oklahoma",3302,67.84,46792,65101,59.2,5.2,85.2
40027200603,"Census Tract 2006.03, Cleveland County, Oklahoma",2996,56.61,38512,35379,29.3,7.6,81.5
40027200604,"Census Tract 2006.04, Cleveland County, Oklahoma",3191,64.93,40429,50282,23.0,11.3,80.8
40027200700,"Census Tract 2007, Cleveland County, Oklahoma",245,64.08,11691,15174,20.8,39.2,79.8
40027200800,"Census Tract 2008, Cleveland County, Oklahoma",7444,67.75,66349,90251,43.3,5.6,91.3
40027200900,"Census Tract 2009, Cleveland County, Oklahoma",4069,71.17,39985,67815,44.1,6.5,94.1
40027201000,"Census Tract 2010, Cleveland County, Oklahoma",5895,66.36,42083,61231,39.4,5.3,83.3
40027201102,"Census Tract 2011.02, Cleveland County, Oklahoma",2871,80.04,55556,86541,75.5,0.6,96.2
40027201103,"Census Tract 2011.03, Cleveland County, Oklahoma",3643,72.22,46481,62501,60.4,4.6,94.9
40027201104,"Census Tract 2011.04, Cleveland County, Oklahoma",2110,73.36,0,79074,38.7,1.4,99.2
40027201201,"Census Tract 2012.01, Cleveland County, Oklahoma",2258,71.92,25987,34605,34.5,6.1,84.1
40027201202,"Census Tract 2012.02, Cleveland County, Oklahoma",6015,70.96,0,33982,22.1,9.1,95.9
40027201204,"Census Tract 2012.04, Cleveland County, Oklahoma",3850,62.52,33264,36099,53.0,0.0,85.6
40027201205,"Census Tract 2012.05, Cleveland County, Oklahoma",4705,64.57,68843,78502,52.4,1.5,94.2
40027201302,"Census Tract 2013.02, Cleveland County, Oklahoma",3988,58.25,42269,54638,39.3,6.6,89.9
40027201303,"Census Tract 2013.03, Cleveland County, Oklahoma",4941,64.62,51250,52771,30.8,15.2,81.3
40027201403,"Census Tract 2014.03, Cleveland County, Oklahoma",6463,73.31,92072,99870,44.1,4.0,96.5
40027201404,"Census Tract 2014.04, Cleveland County, Oklahoma",4215,69.44,54909,95115,49.8,4.2,88.9
40027201405,"Census Tract 2014.05, Cleveland County, Oklahoma",6593,69.47,92361,90674,48.6,2.3,94.1
40027201505,"Census Tract 2015.05, Cleveland County, Oklahoma",5791,76.33,100633,117798,55.5,5.3,92.3
40027201508,"Census Tract 2015.08, Cleveland County, Oklahoma",3052,67.30,61875,82934,38.4,13.5,88.0
