GEOID,POPULATION,TRACTCE
17031081900,1325,81900
17031090100,3585,90100
17031090200,6626,90200
17031090300,1314,90300
17031100100,5538,100100
17031100200,7024,100200
17031100300,6252,100300
17031100400,3207,100400
17031100500,6116,100500
17031100600,4897,100600
17031100700,4967,100700
17031110100,5568,110100
17031110200,2772,110200
17031110300,5348,110300
17031110400,4522,110400
17031110501,4786,110501
17031110502,3220,110502
17031120100,4402,120100
17031120200,4748,120200
17031120300,6920,120300
17031120400,3526,120400
17031130100,5205,130100
17031130200,1403,130200
17031130300,5083,130300
17031140100,3464,140100
17031140200,5834,140200
17031140301,2693,140301
17031140302,4060,140302
17031140400,6503,140400
17031140500,3451,140500
17031140601,2545,140601
17031140602,5041,140602
17031140701,2784,140701
17031140702,5535,140702
17031140800,6486,140800
17031150200,7434,150200
17031150300,7120,150300
17031150401,4681,150401
17031150402,3831,150402
17031150501,3823,150501
17031150502,4239,150502
17031150600,3882,150600
17031150700,4429,150700
17031150800,4903,150800
17031151001,2833,151001
17031151002,4588,151002
17031151100,5140,151100
17031151200,3880,151200
17031160100,2444,160100
17031160200,3278,160200
17031160300,3769,160300
17031160400,4854,160400
17031160501,3703,160501
17031160502,3300,160502
17031160601,3380,160601
17031160602,3481,160602
17031160700,5766,160700
17031160800,4997,160800
17031160900,2410,160900
17031161000,1899,161000
17031161100,1940,161100
17031161200,2820,161200
17031161300,3899,161300
17031170100,2034,170100
17031170200,3812,170200
17031170300,5216,170300
17031170400,4141,170400
17031170500,5316,170500
17031170600,2551,170600
17031170700,3068,170700
17031170800,3799,170800
17031170900,1662,170900
17031171000,7313,171000
17031171100,4235,171100
17031180100,6656,180100
17031190100,2325,190100
17031190200,5652,190200
17031190300,5738,190300
17031190401,4325,190401
17031190402,5294,190402
17031190601,4382,190601
17031190602,5378,190602
17031190701,2972,190701
17031190702,4952,190702
17031190800,6831,190800
17031190900,1927,190900
17031191000,2422,191000
17031191100,7533,191100
17031191200,3810,191200
17031191301,5214,191301
17031191302,4940,191302
17031200100,4118,200100
17031200200,5162,200200
17031200300,2015,200300
17031200401,3743,200401
17031200402,4192,200402
17031210100,4066,210100
17031210400,2912,210400
17031210501,3555,210501
17031210502,4099,210502
17031210601,2717,210601
17031210602,4148,210602
17031210700,3907,210700
17031210800,986,210800
17031210900,3170,210900
17031220300,2207,220300
17031220400,2579,220400
17031220500,2751,220500
17031220601,1635,220601
17031220602,4877,220602
17031220701,2920,220701
17031220702,3653,220702
17031220901,2903,220901
17031220902,2959,220902
17031221000,2432,221000
17031221100,4440,221100
17031221200,2954,221200
17031221300,3062,221300
17031221400,3385,221400
17031221500,2909,221500
17031221600,3159,221600
17031222200,2156,222200
17031222500,1415,222500
17031222600,1599,222600
17031222700,2082,222700
17031222800,960,222800
17031222900,1089,222900
17031230100,1504,230100
17031230200,1834,230200
17031230300,956,230300
17031230400,2235,230400
17031230500,3419,230500
17031230600,6817,230600
17031230700,6218,230700
17031230800,1234,230800
17031230900,5044,230900
17031231100,1214,231100
17031231200,5983,231200
17031231500,5655,231500
17031240200,1556,240200
17031240300,1362,240300
17031240500,2610,240500
